doi;year;authors;title;abstract;citations
N/A;2020;Z.+Jia S.+Lee;Acoustic Analysis Of Urban Air Mobility Quadrotor Aircraft;This paper investigates the acoustics of a 1-passenger and a 6-passenger quadrotor Urban Air Mobility (UAM) aircraft designs in level flight based on a high-fidelity Computational Fluid Dynamics (CFD) approach. The CFD simulations are carried out using the HPCMP CREATETM-AV rotorcraft analysis and simulation tool Helios. The acoustic simulations are performed using the acoustic prediction tool PSU-WOPWOP. A total of three CFD models is simulated: 1-passenger isolated rotor configuration, 1-passenger full configuration, 6-passenger isolated rotor configuration. The noise comparison between the 1-passenger isolated rotor and full configurations shows that the vehicle fuselage can increase the A-weighted sound pressure level (SPL) up to 5 dB. An acoustic comparison between the 1-passenger and 6-passenger configurations suggests that the maximum difference in overall SPL between the two configuration is 14 dB. Furthermore, it is shown that the noise of 1-passenger and 6-passenger configurations is significantly lower than that of a four-bladed conventional helicopter in level flight. However, there is still a challenge to meet the community noise acceptance level so that further noise reduction is recommended. The community noise impact of UAM aircraft is also assessed and compared to background noise in different scenarios. The results show that the 1-passenger vehicle noise can be fully masked by the highway noise at an altitude greater or equal to 1,000 ft while the 6-passenger vehicle noise can only be partially covered by the ambient noise. Copyright 2020 by VFS International, Inc. All rights reserved.;4
10.2514/6.2020-3209;2020;G.+B.+Chatterji;Trajectory Simulation For Air Traffic Management Employing A Multirotor Urban Air Mobility Aircraft Model;This paper describes a point-mass model of a multirotor electric vertical takeoff and landing aircraft designed to carry up to five passengers and a pilot. The model employs thrust, thrust vector angle and bank angle as controls, which are computed in part using the acceleration, heading-angle rate, and flight-path-angle rate generated by control systems in response to speed, heading angle, and flight-path angle commands. The equations of motion are integrated forward in time using the controls needed for following the desired vertical climb/descent and speed profiles, and horizontal path and cruise speed in the presence of wind to generate the flight trajectory. 2020, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;4
10.2514/6.2020-2905;2020;P.+D.+Vascik R.+J.+Hansman;Allocation Of Airspace Cutouts To Enable Procedurally Separated Small Aircraft Operations In Terminal Areas;The current air traffic control (ATC) system is human-centric and voice-based. As a result, separation minima, controller workload, and radio frequency limitations may restrict the number of emerging unmanned aircraft system (UAS) or urban air mobility (UAM) operations that can occur within congested airspace. Limited ATC capacity will be especially impactful for UAS or UAM operations in proximity to large airports. One concept to reduce ATC limitations is to re-allocate airspace to develop procedurally separated corridors or regions where UAS and UAM aircraft may operate without receiving conventional ATC services. The creation of such airspace cutouts currently enables hundreds of daily small aircraft and helicopter operations in major U.S. cities without contributing to ATC workload. This paper develops an approach to analytically identify terminal airspace that is procedurally segregated from large aircraft operations and may be appropriate for new airspace cutouts. The magnitude of the benefit of allocating airspace in this manner is demonstrated at three major airports and in the 34 largest metropolitan areas of the United States. 2020, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;4
10.2514/6.2020-3192;2020;M.+Xue;Urban Air Mobility Conflict Resolution: Centralized Or Decentralized?;This work begins to address one of the critical questions in the urban air mobility and small unmanned aircraft communities: Should the en-route conflict resolution function in an urban air mobility traffic system be centralized or decentralized? Three conflict resolution architectures are modeled and analyzed: centralized, decentralized with uniform rules, and decentralized with mixed rules. This study compares these architectures and investigates their robustness to communication and state information errors in terms of safety and efficiency metrics. Experiments are conducted using a high-fidelity Monte Carlo traffic simulator and a generic set of traffic scenarios with increasing traffic density. When no errors were modeled, the centralized architecture marginally outperformed the decentralized architecture. However, performance of the centralized architecture was found to be adversely affected by the modeled input errors to a greater degree than was the decentralized architecture. Performance of the centralized architecture also was degraded significantly by the modeled transmission errors of the centralized resolution maneuvers. In the decentralized architecture, uniform rules outperformed mixed rules because, in the mixed rules case, system safety performance was undermined and dominated by the poor performers. 2020, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;4
10.2514/6.2020-2630;2020;R.+W.+Hascaryo J.+M.+Merret;Configuration-Independent Initial Sizing Method For Uam/Evtol Vehicles;Urban Air Mobility (UAM) vehicles have been proposed to mitigate urban traffic gridlock and reduce their associated air pollution [1]. Currently, many of these electric vertical takeoff and landing (eVTOL) aircraft are being developed worldwide under various configurations. The purpose of this paper is to present a method for sizing that is independent of the vehicle configuration to provide a quick viability estimate of eVTOL concepts. Performance parameters such as range, speed, and payload capacity are computed along with general physical parameters like wing area and disk area to provide power requirement estimate and vehicle weight. The weight is used to indicate viability of the vehicle concept and its associated assumptions. 2020, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;4
10.2514/6.2020-1504;2020;J.+V.+Foster L.+J.+Miller R.+C.+Busan S.+L.+Langston D.+C.+Hartman;Recent Nasa Wind Tunnel Free-Flight Testing Of A Multirotor Unmanned Aircraft System;Wind tunnel free-flight tests of a small quadrotor aircraft were completed in the NASA Langley 12-Foot Low Speed Tunnel and 20-Foot Vertical Spin Tunnel. The primary objective of these tests was to acquire flight data in forward and descending flight for the purpose of assessing the fidelity of an all-attitude flight dynamics simulation previously developed from static and dynamic wind tunnel data. A secondary objective was to demonstrate and mature free-flight test methods specific to the emerging class of small unmanned aircraft and urban air mobility vehicles. Experimental flight data correlated well with simulation predictions which included steady trim conditions consistent with straight and level flight, and quasi-steady conditions associated with descent velocities prone to vortex ring state development. The test method was shown to be well suited to these classes of vehicles and several unique infrastructure requirements, including tether systems and data acquisition requirements were identified. In addition, unique operational test techniques and safety procedures were developed to accommodate the testing. Results of these tests will be used to support air traffic management studies and research into safety assurance concepts that enable the integration of these classes of vehicles into the National Airspace System. 2020, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;4
10.2514/6.2020-1456;2020;S.+Siewert M.+Andalibi S.+Bruder J.+Buchholz D.+Chamberlain A.+Erno T.+Shiroma D.+Stockhouse;Comparison Of Radar, Passive Optical With Acoustic, And Fused Multi-Modal Active And Passive Sensing For Uas Traffic Management Compliance And Urban Air Mobility Safety;Embry Riddle Aeronautical University Prescott has designed and prototyped a small UAS (Unmanned Aerial System) detection, tracking, classification and identification system for UTM (UAS Traffic Management) compliance verification and UAM (Urban Air Mobility). This system primarily uses passive optical and acoustic sensors along with GNSS (Global Navigation Satellite Systems), or GPS (Global Positioning System) and ADS-B (Automatic Dependent Surveillance Broadcast). The system design, known as Drone Net, is a network of passive sensors designed to cover a kilometer square area. In this paper we present the results of experiments to add an active RADAR (Radio Detection and Ranging) on the ground and active LiDAR (Light Detection and Ranging) on flight nodes (small UAS). System tests completed previously have shown feasibility for all passive optical and acoustic UTM and UAM. The point of the RADAR testing is to directly compare passive sensor networks to active to determine the value of each alone and to test the hypothesis that multi-modal active and passive sensing will be superior, but likely at higher cost than passive alone. Previously, we completed coordinated experiments with an EO/IR camera system and acoustic sensor network with an All-sky hemispherical six-camera system with resolution up to 12 million pixels to optimize detection and tracking. For some applications such as corporate campuses and Class-D airports, passive sensing alone might be sufficient and most cost effective, but for urban, military, and higher traffic Class-C and Class-B larger airports, we believe the combined multi-modal purpose-built sUAS RADAR integrated with optical and acoustic sensor networks will be most effective. Based upon our preliminary results presented herein, purpose built small RADAR with wide fields of view configured into an All-sky active system along with optical All-sky cameras and acoustic sensors are ideal for urban locations requiring the highest confidence in monitoring of combined UTM, UAM and GA (General Aviation) traffic. UTM will mostly be small UAS delivering parcels and must share airspace with UAM carrying passengers for short-hop transportation along with general aviation covering longer distances, but also entering urban airspace at airports. Clearly the airspace in urban locations is going to become much more congested, with new risk, but also new opportunity to improve transportation overall. The results we present here are a start at answering basic questions about multi-modal sensor effectiveness for urban navigation, both passive and active. In scenarios where sUAS and UAM may not have reliable GNSS or might not be UTM compliant, the ground detection, tracking and localization is most critical for assured urban airspace safety and security. 2020, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;4
10.2514/6.2020-0014;2020;E.+D.+Aretskin-Hariton S.+Schnulo E.+Hendricks J.+W.+Chapman;Electrical Cable Design For Urban Air Mobility Aircraft;Urban Air Mobility (UAM) describes a new type of aviation focused on efficient flight within urban areas for moving people and goods. There are many different configurations of UAM vehicles, but they generally use an electric motor driving a propeller or ducted fan powered by batteries or a hybrid electric power generation system. Transmission cables are used to move energy from the storage or generation system to the electric motors. Though terrestrial power transmission cables are well established technology, aviation applications bring a whole host of new design challenges that are not typical considerations in terrestrial applications. Aircraft power transmission cable designs must compromise between resistance-per-length, weight-per-length, volume constraints, and other essential qualities. In this paper we use a multidisciplinary design optimization to explore the sensitivity of these qualities to a representative tiltwing turboelectric UAM aircraft concept. This is performed by coupling propulsion and thermal models for a given mission criteria. Results presented indicate that decreasing cable weight at the expense of increasing cable volume or cooling demand is effective at minimizing maximum takeoff weight (MTO). These findings indicate that subsystem designers should update their modeling approach in order to contribute to system-level optimality for highly-coupled novel aircraft. 2020 American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;4
10.1007/978-3-662-60806-7_8;2020;J.+Behme P.+Planing;Air Taxis As A Mobility Solution For Cities - Empirical Research On Customer Acceptance Of Urban Air Mobility;With todays rising urbanisation, cities around the world are struggling with mobility and infrastructure problems. Electric vertical take-off and landing aircrafts, or short air taxis, could potentially offer a local emission-free and infrastructure-conserving solution. Although these so-called air taxis may be ready to use in the next two to three years, however, potential users remain unaware of them. User acceptance represents a key factor for successfully introducing air taxis. The aim of this particular research was to evaluate the current state of perception regarding air taxis as a new technology among potential users in Germany and to identify significant factors that could influence the user acceptance. To this end, 11 potential users were interviewed via qualitative interviews, evaluated using a qualitative content analysis. The results indicate that air taxis are hardly known in the sample, but also that the attitude towards air taxis tends to be positive. Sociodemographic factors (e.g. age) as well as psychological factors (e.g. need for safety) and product-related factors (e.g. price) possibly influence user acceptance regarding air taxis. The results are particularly relevant for cities and governmental authorities, who need to establish new infrastructure and legislation for air taxis, as well as for manufacturers, who will need to find ways to increase user acceptance in order to successfully introduce their air taxis. Springer-Verlag GmbH Germany, part of Springer Nature 2020.;4
10.1145/3308560.3317059;2019;H.+Eifeldt;Supporting Urban Air Mobility With Citizen Participatory Noise Sensing: A Concept;Looking ahead, in about 20 years, there is likely to be urban air mobility in larger cities across the globe. If economic predictions come true, thousands of air taxi flights will take place daily in capital cities - not only in megacities. Noise generated by urban flight mobility has been identified as a critical factor in this development. A concept is proposed to help raise the tolerance level for urban air noise among communities as well as of individual residents by means of transparency. This concept views residents as stakeholders in urban air mobility and widens the call for continuous noise measurements of vertical take-off and landing operations on individual site basis [1] by residents voluntary on-site data collection enabled by smartphone-based participatory noise sensing (PNS). In the presentation of this concept, this discussion paper describes important aspects of social acceptance of urban air mobility.  2019 IW3C2 (International World Wide Web Conference Committee), published under Creative Commons CC-BY-NC-ND 4.0 License.;4
N/A;2019;R.+C.+Rubio P.+V.+Diaz S.+Yoon;High-Fidelity Computational Analysis Of Ducted And Coaxial Rotors For Urban Air Mobility;High-fidelity computational fluid dynamics simulations have been carried out for ducted and coaxial rotors, for urban air mobility applications. The three-dimensional unsteady Navier-Stokes equations are solved on overset grids using high-order accurate schemes, dual-time stepping, and a hybrid turbulence model. Performance has been assessed by looking at the rotor coefficients, and acoustic behavior has been qualitatively studied through the observation of pressure fluctuations. The effects on performances of several duct parameters are first assessed. Counter-rotating and co-rotating coaxial rotor systems are then studied and compared, and the effect of the duct on these systems is analyzed. 2019 Vertical Flight Society. All rights reserved.;4
10.1016/j.trpro.2019.09.007;2019;R.+Rothfeld M.+Balac C.+Antoniou;Modelling And Evaluating Urban Air Mobility - An Early Research Approach;N/A;4
10.1007/978-3-030-20652-9_5;2019;S.+Bharadwaj S.+Carr N.+Neogi H.+Poonawala A.+B.+Chueca U.+Topcu;Traffic Management For Urban Air Mobility;Urban air mobility (UAM) refers to on-demand air transportation services within an urban area. We seek to perform mission planning for vehicles in a UAM fleet, while guaranteeing system safety requirements such as traffic separation. In this paper, we present a localized hierarchical planning procedure for the traffic management problem of a fleet of (potentially autonomous) UAM vehicles. We apply decentralized policy synthesis for route planning on individual vehicles, which are modeled by Markov decision processes. We divide the operating region into sectors and use reactive synthesis to generate local runtime enforcement modules or shields, each of which satisfies its own assume-guarantee contract that encodes requirements of conflict management, safety, and interactions with neighbouring sectors. We prove that the realization of these contracts ensures that the entire network of shields satisfies the safety specifications with each shield limited to acting in its local sector of operation. Springer Nature Switzerland AG 2019.;4
10.3390/joitmc5010001;2019;D.+Guffarth M.+Knappe;Patterns Of Learning In Dynamic Technological System Lifecycles-What Automotive Managers Can Learn From The Aerospace Industry?;Not only with respect to the common overlaps within the market of urban air mobility, but also in terms of their requirement profile with regard to the systemic core, all mobility industries are converging. This article focuses on the required patterns of learning in order to cope with these changes, and what automotive managers can learn from the aerospace industry in this context. As organizational learning is the central parameter of economic evolution, and technology develops over trajectory shifts, companies are, at the very least, cyclically forced to learn ambidextrously, or are squeezed out of the market. They have to act and react as complex adaptive systems in their changing environment. Especially in these dynamics, ambidextrous learning is identified to be a conditio sine qua non for organizational success. Especially the combination of efficiency-oriented internal exploitation with an explorative and external-oriented open innovation network turns out to be a superior strategy. By combining patent data, patent citation analysis and data on the European Framework Programs, we show that there are temporal differences, i.e., position of the product in the product, technique, technology, and industry life cycle. Furthermore, we draw a conclusion dependent on the systemic product character, which enforces different learning requirements concerning supply chain position and, as an overarching conclusion, we identify product structure to be decisive for how organizational learning should be styled. 2019 by the authors.;4
10.15394/ijaaa.2019.1312;2019;K.+A.+Adkins;Urban Flow And Small Unmanned Aerial System Operations In The Built Environment;The Federal Aviation Administration (FAA) has put forth a set of regulations (Part 107) that govern small unmanned aerial system (sUAS) operations. These regulations restrict unmanned aircraft (UA) from flying over people and their operation to within visual line of sight (VLOS). However, as new applications for unmanned aerial systems (UAS) are discovered, their capabilities improve, and regulations evolve, there is an increasing desire to undertake urban operations, such as urban air mobility, package delivery, infrastructure inspection, and surveillance. This built environment poses new weather hazards that include enhanced wind shear and turbulence. The smaller physical dimensions, lower mass and reduced ground speed of UA make them more susceptible to these hazards than their manned counterparts and can have a significant impact on their performance, endurance and the likelihood of accomplishing the mission. Due to current restrictions, very few flight hours have been accumulated confronting these unique weather challenges. In the absence of this data, this article explores a diverse body of literature that analyzes urban flow and discusses the relevant insight it provides to sUAS operations. 2019, Embry-Riddle Aeronautical University.;4
10.2514/6.2022-1515;2022;I.+Chakraborty N.+S.+Miller A.+A.+Mishra;Sizing And Analysis Of A Tilt-Wing Aircraft With All-Electric And Hybrid-Electric Propulsion Systems;This paper demonstrates integrated vehicle and propulsion system sizing and performance analysis for a vertical takeoff and landing tilt-wing Urban Air Mobility aircraft family with two variants. The first variant features an all-electric propulsion system architecture while the second variant features a hybrid-electric architecture in which turbo-generators are used in lieu of batteries to supply cruise power requirements, offset battery power draw in vertical flight, and recharge the batteries. Both variants are sized for a representative Urban Air Mobility mission profile while considering varying battery technology levels and trip distances. The aircraft are sized and analyzed using Parametric Energy-based Aircraft Configuration Evaluator, an aircraft sizing framework integrating discipline analyses for aerodynamics, propulsion, and weight estimation with parametric geometry definition, re-sizing, and energy-based mission performance analyses. 2022, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;3
10.2514/6.2022-1132;2022;C.+Torens U.+Durak J.+Dauer;Guidelines And Regulatory Framework For Machine Learning In Aviation;Automation and eventually autonomy are regarded as the enabler for upcoming Urban Air Mobility (UAM) / Advanced Air Mobility segment. Only they could enable unprecedented opportunities for scaling drones and air taxis to a large number of vehicles, making the services available for everyone. Artificial Intelligence (AI) in general, Machine Learning (ML) in particular promise a huge leap towards achieving high levels of automation and further autonomy. Nevertheless, the safety concerns and challenges regarding compliance to the existing software standards are more pressing then ever before. Existing regulatory framework for hardware and software items fail to provide adequate acceptable means of compliance for AI-based systems. Hence, there are currently a number of ongoing efforts to update and augment the current standards. This paper will give an overview of the existing and upcoming regulatory framework for certifying AI-based systems. It will elaborate the EASA documents, artificial intelligence roadmap, Concepts of Design Assurance for Neural Networks (CoDANN), CoDANN II, as well as the concept paper on first usable guidance for level I machine learning applications. Furthermore, suitable guidance from EuroCAE, RTCA, ASTM and AVSI will be discussed. 2022, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;3
10.2514/6.2022-0362;2022;T.+Lombaerts K.+H.+Shish G.+Keller V.+Stepanyan N.+Cramer C.+Ippolito;Adaptive Multi-Sensor Fusion Based Object Tracking For Autonomous Urban Air Mobility Operations;Autonomous operations are a crucial aspect in the context of Urban Air Mobility and other emerging aviation markets. In order to enable this autonomy, systems must be able to build independently an accurate and detailed understanding of the own vehicle state as well as the surrounding environment, this includes detecting and avoiding moving objects in the sky, which can be cooperative (aircraft, UAM vehicles, etc.) as well as noncooperative (smaller drones, birds, ). This paper focuses on the object tracking part that relies on adaptive multi-sensor fusion, taking into account specific properties and limitations of different sensor types. Results show the impact of dropouts of individual sensors on the accuracy of the tracking results for this adaptive sensor fusion approach. 2022, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;3
10.2514/6.2022-0215;2022;L.+Preis M.+Hornung;Identification Of Driving Processes For Vertiport Operations Using Agent-Based Simulation;Urban Air Mobility (UAM) is an emerging transportation concept promising to introduce a fast and flexible mode of transport, which may become affordable for the larger public. The anticipated demand coupled with the highly constrained urban environment creates a complex problem for infrastructure. Vertiports, as an interface between air-side and ground-side operations, have garnered some attention, yet the operational dynamics are barely understood today. This paper seeks to shed light on vertiport airfield operations to inform future fields of research and early projects of designing vertiports. Through a customized Agent-Based Modeling and Simulation (ABMS) framework, an entire day of vertiport operations can be simulated. To gain an understanding of the operational dynamics of vertiports this paper will present a sensitivity study looking at variations of (1) demand magnitudes and profiles, (2) pad operations including approach and departure and (3) vehicle turnaround including passenger boarding and de-boarding at gates. One finding is that operations are driven by peaks and asymmetries in demand, which emphasizes the need for high-fidelity analysis of vertiport airfield operations. Another finding is that the threshold between stable and instable operations is narrow and passenger delay increases exponentially beyond this threshold. 2022, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;3
10.2514/6.2022-0152;2022;P.+V.+Diaz S.+Yoon;High-Fidelity Simulations Of A Quadrotor Vehicle For Urban Air Mobility;High-fidelity computational fluid dynamics simulations have been carried out to analyze NASAs quadrotor air taxi concept for urban air mobility. High-order accurate schemes, dual-time stepping, and the delayed detached-eddy simulation model have been employed. The flow solver has been loosely coupled with the rotorcraft comprehensive analysis code. The vehicle simulated is a six-passenger quadrotor for air taxi operations. The quadrotor has been simulated in hover and cruise, with flight conditions representative of an air taxi mission. Initially, the quadcopter vehicle is analyzed using low-fidelity tools. Then, a complete analysis using high-fidelity simulations of the quadcopter is performed in conjunction with collective pitch control. Airloads, wake geometry, and performance are studied and compared. A comparison between isolated rotors and complete vehicle simulations is presented. NASAs quadrotor is one of NASAs concept vehicles designed in support of aircraft development for vertical take-off and landing air taxi operations. 2022, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;3
10.1115/1.4052057;2021;C.+A.+Saias I.+Goulos I.+Roumeliotis V.+Pachidis M.+Bacic;Preliminary Design Of Hybrid-Electric Propulsion Systems For Emerging Urban Air Mobility Rotorcraft Architectures;The increasing demands for air-taxi operations together with the ambitious targets for reduced environmental impact have driven significant interest in alternative rotorcraft architectures and propulsion systems. The design of hybrid-electric propulsion systems (HEPSs) for rotorcraft is seen as being able to contribute to those goals. This work aims to conduct a comprehensive design and tradeoff analysis of hybrid powerplants for rotorcraft, targeting enhanced payload-range capability and fuel economy. An integrated methodology for the design, performance assessment, and optimal implementation of HEPSs for conceptual rotorcraft has been developed. A multidisciplinary approach is devised comprising models for rotor aerodynamics, flight dynamics, HEPS performance, and weight estimation. All models are validated using experimental or flight test data. The methodology is deployed for the assessment of a hybrid-electric tilt-rotor, modeled after the NASA XV-15. This work targets to provide new insight into the preliminary design and sizing of optimally designed HEPSs for novel tilt-rotor aircraft. The paper demonstrates that at present, current battery energy densities (250 Wh/kg) severely limit the degree of hybridization if a fixed useful payload and range are to be achieved. However, it is also shown that if advancements in battery energy density to 500 Wh/kg are realized, a significant increase in the level of hybridization and hence reduction of fuel burned and carbon output relative to the conventional configuration can be attained. The methodology presented is flexible enough to be applied to alternative rotorcraft configurations and propulsion systems. Copyright 2021 by Rolls-Royce plc;3
10.1016/j.trc.2021.103392;2021;J.+Haan L.+A.+Garrow A.+Marzuoli S.+Roy M.+Bierlaire;Are Commuter Air Taxis Coming To Your City? A Ranking Of 40 Cities In The United States;Given the high levels of congestion that many commuters in the United States experience, the urban air mobility community has been exploring the potential of using a new class of electric vertical takeoff and landing (eVTOL) aircraft for commuters. To date, only a few studies have been conducted that compare how potential air taxi demand across cities varies. This study calculates a measure of air taxi demand for commuters for the 40 most populous combined statistical areas (CSAs) in the U.S. by using: (1) cell phone data to identify regular commuters in cities, (2) census data to associate household income characteristics with commuters, and (3) a mode choice model calibrated from a stated preference survey to predict the number of commuters that would use an air taxi. Air taxi commuter demand is concentrated in a handful of CSAs, the CSAs for New York City, Los Angeles, and Washington, D.C., generate 33 percent of the overall air taxi demand. Results are sensitive to location of existing vertiports, existing ground infrastructure and congestion levels on competing modes, and current commute patterns. A resultant set of online maps of potential air taxi routes allows readers to visualize how air taxi commuter routes differ across CSAs. Results will be of value both to aircraft manufacturers seeking to design air taxi vehicles to serve different cities as well as city planners for identifying where investments in port infrastructure may be needed to support a commuter air taxi service. 2021 The Authors;3
10.1016/j.eswa.2021.115056;2021;S.+Rajendran;Real-Time Dispatching Of Air Taxis In Metropolitan Cities Using A Hybrid Simulation Goal Programming Algorithm;Expected to begin its operations in the coming years, air taxi aims to provide everyday transportation services to customers in metropolitan cities. These vehicles offer urban air mobility (UAM) services using the electric vertical takeoff and landing (eVTOL) technology. This research is the first to present a hybrid simulation goal programming (HSGP) approach to dispatch vehicles in a centralized air taxi network. After each customer drop-off, the model makes real-time decisions on (i) whether the air taxi must become idle or pick up customers, and (ii) the station to which the air taxi should be dispatched (if the air taxi is operational). The feasibility of the HSGP approach is tested using potential air taxi demands in New York City (NYC) provided by a prior study. The results of the experimentation suggest that the minimum number of air taxis required for efficient operation in NYC is 84, functioning with an average utilization rate of 66%. In addition, the impacts of commuter's willingness to fly rate, percentage of demand fulfillment, on-road travel limit, maximum customer wait time, and arrival distribution on the optimal number of air taxis, utilization rate, number of customers served, and cost incurred per customer are examined. Analyses show that the willingness to fly rate appears to have a linear influence on the number of air taxis and the efficiency, while on-road travel distance has an exponential impact on the performance measures. The HSGP algorithm developed in this paper can be used by any company that is interested in venturing into the air taxi market. 2021 Elsevier Ltd;3
10.3390/aerospace8090239;2021;A.+Zanotti;Experimental Study Of The Aerodynamic Interaction Between Side-By-Side Propellers In Evtol Airplane Mode Through Stereoscopic Particle Image Velocimetry;Side-by-side propellers characterise the architecture of most new electric aircraft (eVTOLs) designed in recent years for urban air mobility. The aerodynamic interaction between side-by-side propellers represents one of the key phenomena that characterise the flow field and performance of these novel aircraft configurations. The present article describes the main results of a wind tunnel campaign that aimed to investigate the flow features that characterise this aerodynamic interaction, with a particular application to cruise flight conditions in eVTOLs. With this aim, stereo particle image velocimetry (PIV) measurements were performed in the wake of two co-rotating propeller models in a side-by-side configuration. The three-dimensional flow surveys provided detailed insights into the flow physics of the interacting propellers, with a particular focus on the interactional effects on the trajectory of the tip vortices and the wake topology provided at two different advance ratios by reproducing a moderate and a fast cruise speed of eVTOLs in urban areas. 2021 by the authors. Licensee MDPI, Basel, Switzerland.;3
10.1109/TITS.2020.3046103;2021;V.+Bulusu R.+Sengupta;Improving Productivity Of Low-Altitude Airspace: Speed Vs Direction Control;Emerging unmanned aircraft systems (UAS) operations propose to introduce flights orders of magnitude higher than what the airspace handles today. What type of onboard control for enroute separation assurance increases productivity without compromising safety in the low-altitude airspace? This article quantifies the impact of two conflict detection and resolution approaches - pure speed control and pure direction control - on airspace productivity. We focus on small UAS traffic for goods movement in low altitude (under 400 feet) airspace. We compute three types of metrics, namely throughput, travel time extension and energy consumption, from simulations of unmanned traffic over a representative square area. As the inflow rates are increased, the corresponding outflow rates (throughput), travel time extensions and energy consumption for each type of control are measured. A representative power consumption model is developed for aircraft with both kinds of control. Without compromising safety, both direction control and speed control are equally good, unless the UAS are designed to be highly efficient while hovering. If the UAS have a hover power consumption that is equal to or less than one and a half times the minimum power consumption, speed control increases airspace productivity more than direction control. 2000-2011 IEEE.;3
10.1016/j.trc.2021.102997;2021;L.+C.+Willey J.+L.+Salmon;A Method For Urban Air Mobility Network Design Using Hub Location And Subgraph Isomorphism;Rising concerns related to the effects of traffic congestion have led to the proposal of many alternative solutions, including the idea of Urban Air Mobility (UAM), which uses electric aircraft to service routes in dense urban areas. UAM networks rely on an infrastructure of vertiports, which are closely tied to the ability of the UAM service to operate effectively. This research addresses identifying desirable locations for vertiports while taking into account vehicle limitations, desired operational strategies, and the possibility of passenger trips involving more than two vertiports. The vertiport selection problem is presented as a modified single-allocation p-hub median location problem that incorporates elements of subgraph isomorphism to create structured networks to allow for public transit operations. Because the problem is NP-hard, five heuristic algorithms are developed to find potential solutions with acceptable computation times. The methods are compared to the optimal solution in three different areas of the United States. The most effective of these methods are found to be within 10% of the optimal solution on average, and results indicate that they scale well to larger networks. General trends from the three case study regions examined are also briefly discussed. 2021 Elsevier Ltd;3
10.3390/aerospace8020054;2021;J.+A.+Cole L.+Rajauski A.+Loughran A.+Karpowicz S.+Salinger;Configuration Study Of Electric Helicopters For Urban Air Mobility;There is currently interest in the design of small electric vertical take-off and landing aircraft to alleviate ground traffic and congestion in major urban areas. To support progress in this area, a conceptual design method for single-main-rotor and lift-augmented compound electric helicopters has been developed. The design method was used to investigate the feasible design space for electric helicopters based on varying mission profiles and technology assumptions. Within the feasible design space, it was found that a crossover boundary exists as a function of cruise distance and hover time where the most efficient configuration changes from a single-main-rotor helicopter to a lift-augmented compound helicopter. In general, for longer cruise distances and shorter hover times, the lift-augmented compound helicopter is the more efficient configuration. An additional study was conducted to investigate the potential benefits of decoupling the main rotor from the tail rotor. This study showed that decoupling the main rotor and tail rotor has the potential to reduce the total mission energy required in all cases, allowing for increases in mission distances and hover times on the order of 5% for a given battery size. 2021 by the authors. Licensee MDPI, Basel, Switzerland.;3
10.2514/6.2021-3202;2021;F.+Naser N.+Peinecke B.+I.+Schuchardt;Air Taxis Vs. Taxicabs: A Simulation Study On The Efficiency Of Uam;Growing urbanization increasingly leads to negative effects on the overall transportation and personal transport traffic. In particular, traffic congestions with huge delays, especially during rush hours are causing problems. Urban Air Mobility (UAM) solutions aim at utilizing the airspace above the city for personal transport by introducing potentially autonomous, small vertical take-off and landing vehicles to tackle this development. This paper explores the advantages of UAM, or air taxis, compared to ground-based taxicabs in terms of route lengths and travel time. For this, a simulation study was carried out for a European metropolitan area, namely the downtown of Hamburg, Germany. A number of places was identified within the area that would be suitable for carrying UAM hubs, so called vertidromes. The study was realized using DLRs drone traffic scenario generator, including technology developed for the in-house 4D trajectory planning and deconfliction solution. Scenarios were based on publicly available map data from OpenStreetMap. The scenarios assume that a direct connection between two hubs is demanded in a regular, short interval of time. Both a UAM connection and a ground transport are then scheduled simultaneously, allowing a direct comparison of travel time and distance. Conflict-free routing is considered for the UAM system. A time saving of 50% for the pure travel time as well as a route length saving of up to 16% for the air taxi vs. taxicab connections could be deduced from the simulation. 2021, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;3
